adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/dyJvKsNs2KP8qQnAXbRwDjblViy.jpg,"[16, 10751, 14]",129,ja,千と千尋の神隠し,"A young girl, Chihiro, becomes trapped in a strange new world of spirits. When her parents undergo a mysterious transformation, she must call upon the courage she never knew she had to free her family.",30.4319,/39wmItIWsg5sZMyRUHLkWBcuVCM.jpg,2001-07-20,Spirited Away,False,8.534,18176
False,/b6HWTOxn1xevvyHU2K9ICvaRU6g.jpg,"[14, 18, 80]",497,en,The Green Mile,"A supernatural tale set on death row in a Southern prison, where gentle giant John Coffey possesses the mysterious power to heal people's ailments. When the cell block's head guard, Paul Edgecomb, recognizes Coffey's miraculous gift, he tries desperately to help stave off the condemned man's execution.",27.8367,/8VG8fDNiy50H4FedGwdSVUPoaJe.jpg,1999-12-10,The Green Mile,False,8.5,19096
False,/2u7zbn8EudG6kLlBzUYqP8RyFU4.jpg,"[12, 14, 28]",122,en,The Lord of the Rings: The Return of the King,"As armies mass for a final battle that will decide the fate of the world--and powerful, ancient forces of Light and Dark compete to determine the outcome--one member of the Fellowship of the Ring is revealed as the noble heir to the throne of the Kings of Men. Yet, the sole hope for triumph over evil lies with a brave hobbit, Frodo, who, accompanied by his loyal friend Sam and the hideous, wretched Gollum, ventures deep into the very dark heart of Mordor on his seemingly impossible quest to destroy the Ring of Power.​",33.4367,/rCzpDGLbOoPwLjy3OAm5NUPOTrC.jpg,2003-12-17,The Lord of the Rings: The Return of the King,False,8.496,26346
False,/a0lfia8tk8ifkrve0Tn8wkISUvs.jpg,"[12, 14, 28]",120,en,The Lord of the Rings: The Fellowship of the Ring,"Young hobbit Frodo Baggins, after inheriting a mysterious ring from his uncle Bilbo, must leave his home in order to keep it from falling into the hands of its evil creator. Along the way, a fellowship is formed to protect the ringbearer and make sure that the ring arrives at its final destination: Mt. Doom, the only place where it can be destroyed.",33.9804,/6oom5QYQ2yQTMJIbnvbkBL9cHo6.jpg,2001-12-18,The Lord of the Rings: The Fellowship of the Ring,False,8.431,27347
False,/alQqTpmEkxSLgajfEYTsTH6nAKB.jpg,"[35, 18, 14, 10749]",40096,pt,O Auto da Compadecida,"The lively João Grilo and the sly Chicó are poor guys living in the hinterland who cheat a bunch of people in a small town in Northeastern Brazil. When they die, they have to be judged by Christ, the Devil and the Virgin Mary before they are admitted to paradise.",5.9552,/z9Au9XtK0ARzkKGsZCzMkmKgMPf.jpg,2000-09-15,A Dog's Will,False,8.419,1212
False,/kWYfW2Re0rUDE6IHhy4CRuKWeFr.jpg,"[12, 14, 28]",121,en,The Lord of the Rings: The Two Towers,"Frodo Baggins and the other members of the Fellowship continue on their sacred quest to destroy the One Ring--but on separate paths. Their destinies lie at two towers--Orthanc Tower in Isengard, where the corrupt wizard Saruman awaits, and Sauron's fortress at Barad-dur, deep within the dark lands of Mordor. Frodo and Sam are trekking to Mordor to destroy the One Ring of Power while Gimli, Legolas and Aragorn search for the orc-captured Merry and Pippin. All along, nefarious wizard Saruman awaits the Fellowship members at the Orthanc Tower in Isengard.",25.8225,/5VTN0pR8gcqV3EPUHHfMGnJYN9L.jpg,2002-12-18,The Lord of the Rings: The Two Towers,False,8.415,23719
False,/nv5wwZou159v5OC61i4ElR7OqyY.jpg,"[14, 16, 12]",4935,ja,ハウルの動く城,"Sophie, a young milliner, is turned into an elderly woman by a witch who enters her shop and curses her. She encounters a wizard named Howl and gets caught up in his resistance to fighting for the king.",23.9173,/13kOl2v0nD2OLbVSHnHk8GUFEhO.jpg,2004-09-09,Howl's Moving Castle,False,8.388,10971
False,/kfXgo2rMF1A19celCwLyQ4Xwpf8.jpg,"[16, 28, 10749, 14]",1218925,ja,劇場版 チェンソーマン レゼ篇,"In a brutal war between devils, hunters, and secret enemies, a mysterious girl named Reze has stepped into Denji's world, and he faces his deadliest battle yet, fueled by love in a world where survival knows no rules.",29.6382,/pHyxb2RV5wLlboAwm9ZJ9qTVEDw.jpg,2025-09-19,Chainsaw Man - The Movie: Reze Arc,False,8.328,799
False,/gl0jzn4BupSbL2qMVeqrjKkF9Js.jpg,"[12, 14, 16]",128,ja,もののけ姫,"Ashitaka, a prince of the disappearing Emishi people, is cursed by a demonized boar god and must journey to the west to find a cure. Along the way, he encounters San, a young human woman fighting to protect the forest, and Lady Eboshi, who is trying to destroy it. Ashitaka must find a way to bring balance to this conflict.",15.5974,/cMYCDADoLKLbB83g4WnJegaZimC.jpg,1997-07-12,Princess Mononoke,False,8.325,8905
False,/aVFx1VtlOxR3v0ADEatalXOvwbu.jpg,"[16, 14, 28]",620249,zh,罗小黑战记,"When cat spirit Luo Xiaohei's home is deforested by humans, he must find a new one. He runs into a group of other spirit creatures who take him under their wing with dreams of reconquering the land they say is rightfully theirs. However, they run into a human known as Wuxian who separates Luo Xiaohei from the other spirits and the two go on a journey, with the cat spirit learning to control his abilities as well as forming his own thoughts on whether or not he should ally with the spirits or the humans.",8.6008,/4jfbKKLpqts3i2h2obkrONcjTg1.jpg,2019-08-27,The Legend of Hei,False,8.301,449
False,/wGwSWDG3LIQxchg2M8HV7bDqYKU.jpg,"[16, 18, 14, 10749]",533514,ja,劇場版 ヴァイオレット・エヴァーガーデン,"As the world moves on from the war and technological advances bring changes to her life, Violet still hopes to see her lost commanding officer again.",8.2958,/bajajkoErDst0JxdFyBkABiF9rW.jpg,2020-09-18,Violet Evergarden: The Movie,False,8.301,499
